Action,HRID,Tars Key,Rate Level,Product,External System Code,External Code,Nb Pax,Tars Key Type,Declared in Systems,Booking Limit
A,HC1N6,,,TWAZ,UA,D2S,3,,No,No
A,HC1N6,,,TWAZ,TW,D2S,1,,No,No
A,HC1N6,,,TWAZ,TW,D2S,2,,No,No
A,HC1N6,,,TWAZ,TW,D2S,3,,No,No
A,HC1N6,,,TWAZ,WB,D2S,1,,No,No
A,HC1N6,,,TWAZ,WB,D2S,2,,No,No
A,HC1N6,,,TWAZ,WB,D2S,3,,No,No
A,HC1N6,,,TWAZ,DQ,TWAZ,1,,No,No
A,HC1N6,,,TWAZ,DQ,TWAZ,2,,No,No
A,HC1N6,,,TWAZ,DQ,TWAZ,3,,No,No
A,HC1N6,,,TWAZ,HO,TWAZ,1,,No,No
A,HC1N6,,,TWAZ,HO,TWAZ,2,,No,No
A,HC1N6,,,TWAZ,HO,TWAZ,3,,No,No
A,HC1N6,,,TWAZ,TE,TWAZ,1,,No,No
A,HC1N6,,,TWAZ,TE,TWAZ,2,,No,No
A,HC1N6,,,TWAZ,TE,TWAZ,3,,No,No
A,HC1N6,,,R3C,1A,D4S,1,,No,No
A,HC1N6,,,R3C,1A,D4S,2,,No,No
A,HC1N6,,,R3C,1A,D4S,3,,No,No
A,HC1N6,,,R3C,1A,D4S,4,,No,No
A,HC1N6,,,R3C,AA,D4S,1,,No,No
A,HC1N6,,,R3C,AA,D4S,2,,No,No
A,HC1N6,,,R3C,AA,D4S,3,,No,No
A,HC1N6,,,R3C,AA,D4S,4,,No,No
A,HC1N6,,,R3C,UA,D4S,1,,No,No
A,HC1N6,,,R3C,UA,D4S,2,,No,No
A,HC1N6,,,R3C,UA,D4S,3,,No,No
A,HC1N6,,,R3C,UA,D4S,4,,No,No
A,HC1N6,,,R3C,TW,D4S,1,,No,No
A,HC1N6,,,R3C,TW,D4S,2,,No,No
A,HC1N6,,,R3C,TW,D4S,3,,No,No
A,HC1N6,,,R3C,TW,D4S,4,,No,No
A,HC1N6,,,R3C,WB,D4S,1,,No,No
A,HC1N6,,,R3C,WB,D4S,2,,No,No
A,HC1N6,,,R3C,WB,D4S,3,,No,No
A,HC1N6,,,R3C,WB,D4S,4,,No,No
A,HC1N6,,,R3C,DQ,R3C,1,,No,No
A,HC1N6,,,R3C,DQ,R3C,2,,No,No
A,HC1N6,,,R3C,DQ,R3C,3,,No,No
A,HC1N6,,,R3C,DQ,R3C,4,,No,No
A,HC1N6,,,R3C,HO,R3C,1,,No,No
